userid,label
198204813,Pro-Science
19884318,Pro-Science
19996051,Anti-Science
20350365,Pro-Science
20463508,Anti-Science
20486892,Anti-Science
20549296,Anti-Science
206385726,Anti-Science
20649643,Pro-Science
20704087,Anti-Science
20891877,Anti-Science
210483362,Anti-Science
21144582,Anti-Science
212377478,Pro-Science
212533247,Anti-Science
21321531,Anti-Science
21352370,Anti-Science
21371595,Anti-Science
21428933,Anti-Science
21447812,Anti-Science
214692795,Anti-Science
21471390,Pro-Science
2147987198,Pro-Science
2156079763,Pro-Science
21592147,Pro-Science
2164680700,Anti-Science
2165004848,Pro-Science
2165583530,Anti-Science
216597479,Anti-Science
21674128,Anti-Science
217241765,Anti-Science
21733694,Pro-Science
2179021721,Anti-Science
218097761,Pro-Science
21833460,Anti-Science
219197980,Pro-Science
21924281,Pro-Science
2194445555,Anti-Science
2194839033,Anti-Science
21960827,Anti-Science
2196941024,Anti-Science
2202463002,Anti-Science
220867685,Anti-Science
22116486,Anti-Science
2220181616,Pro-Science
222132085,Pro-Science
2222226084,Anti-Science
222438202,Anti-Science
22370371,Anti-Science
224100953,Anti-Science
22432322,Pro-Science
2248534703,Pro-Science
2252434070,Anti-Science
2262092634,Anti-Science
2268124987,Pro-Science
22686011,Pro-Science
2268741485,Pro-Science
2273540036,Pro-Science
2290621688,Pro-Science
2290800378,Anti-Science
229407766,Anti-Science
2295297356,Anti-Science
2302778143,Pro-Science
2313089026,Pro-Science
23206630,Anti-Science
2322206090,Anti-Science
23247142,Anti-Science
2325997464,Anti-Science
232693846,Pro-Science
232749668,Anti-Science
23280389,Anti-Science
232893492,Anti-Science
233084692,Anti-Science
233339680,Pro-Science
2340934651,Pro-Science
2342116884,Anti-Science
23437764,Pro-Science
23451326,Anti-Science
2347852890,Pro-Science
236043992,Anti-Science
2363209794,Pro-Science
2367401767,Pro-Science
236855316,Pro-Science
23690589,Anti-Science
2385986966,Anti-Science
239061897,Pro-Science
23958430,Pro-Science
2396738862,Anti-Science
239964578,Anti-Science
240205293,Anti-Science
240801472,Pro-Science
24083551,Pro-Science
241109025,Anti-Science
2414023773,Anti-Science
24150778,Anti-Science
24178652,Pro-Science
241832788,Anti-Science
2424917515,Pro-Science
