tweetid,screen_name,date,lang,text,state,friends_count,followers_count
1295115738869567489,BusyDrT,Sun Aug 16 21:50:28 +0000 2020,en,"Not that I trust the #WHO, but in this case I’m going to agree! Now everyone can stop being terrified of what they’re eating‼️ WHO Reiterates Coronavirus Not Spread Via Food https://t.co/EagilZPWMD #Newsmax",OH,218,59927
1295216049567211522,BusyDrT,Mon Aug 17 04:29:04 +0000 2020,en,"BBC News - #Coronavirus: UK death count review reduces UK toll by 5,000 https://t.co/9euWQwNau2  - fake numbers are out of control &amp;  only revised when they’re  caught faking them. Since We demand recounts after elections - lets do the same  for positive  #CV cases! #Recount.",OH,220,59979
1295225469298712576,BusyDrT,Mon Aug 17 05:06:30 +0000 2020,en,"Britain's choice of Covid vaccine uses a saponin-based adjuvant, shown to cause 'hypoglycaemia' (glucose deficiency in the bloodstream) and to 'impair the digestion of protein and the uptake of vitamins and minerals in the gut.' https://t.co/FEbrUTBqsp",OH,220,59983
1295256705878687745,MsAnuJohanna,Mon Aug 17 07:10:38 +0000 2020,en,Wise words once again by old man in a chair. We should all tune in for Dr Vernon Coleman Forbidden Truths https://t.co/Qp0AoTEVQO #COVID19 #TruthMatters,,8286,9657
1295321271941632001,WakeTheFlockUp6,Mon Aug 17 11:27:11 +0000 2020,en,CDC Admits in Federal Court It Has No Evidence ‘ ‘Vaccines Don’t Cause Autism’  #NotNewNormal #SaveOurChildren from Corrupt Government &amp; #pHarma https://t.co/OpKKYi5D4h https://t.co/6emC9PwtW2,,5033,6142
1295342337284026368,miraforeman,Mon Aug 17 12:50:54 +0000 2020,en,Anti lockdown protest held in Manchester https://t.co/PwVqohQF0R via @YouTube,,1120,1010
1295345432952999936,mercola,Mon Aug 17 13:03:12 +0000 2020,en,Want to boost your defenses against COVID? Start by strengthening your immune health. Here are 7 steps to help reduce your risk. #StopCOVIDCold     Click here 👉 https://t.co/hM9BcHpi5j https://t.co/ybrcocWdKr,FL,29963,289174
1295371097148399617,miraforeman,Mon Aug 17 14:45:11 +0000 2020,en,UK signs deals to buy experimental coronavirus vaccines - BBC News https://t.co/9OE49uR7VF via @YouTube Any candidates?,,1120,1010
1295460943464407042,TruthTeam101,Mon Aug 17 20:42:12 +0000 2020,en,My Dad's 90th birthday is coming up.  Last year we flew from separate cities and met in Vegas to celebrate his 89th.   It was glorious.  But how do you celebrate a birthday when Covid?🤔  Birthday Zoom meetings?  Will the last time I ever see him be on Zoom?🤔🤔😬,,3684,1038.0
1295501662488952832,RobertKennedyJr,Mon Aug 17 23:24:00 +0000 2020,en,Americans who suffer adverse reactions to #coronavirus #vaccines that the U.S. is racing to develop will have a hard time getting compensated for injuries from the drugs. #BigPharma  https://t.co/2LBcyTAJb9,CA,575,157692
